ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	981.7	...	984.6	2016/6/2 00:00	978.7	2016/6/1 16:46	29.8	34.3	2016/6/1 13:49	25	2016/6/1 04:46	...	69	50	2016/6/1 15:01	3.5	229	15	221	2016/6/1 08:14	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	982.4	...	984.8	2016/6/2 22:44	979.8	2016/6/2 05:36	26	28.7	2016/6/2 07:14	24.2	2016/6/2 13:05	...	88	68	2016/6/2 00:44	1.3	225	11.8	226	2016/6/2 05:58	52	...	...	...	...	...	...	...	...	...	...	...	...	...
3	982.6	...	984.5	2016/6/3 23:31	980.4	2016/6/3 15:45	28.1	32.3	2016/6/3 11:21	24.5	2016/6/3 02:24	...	83	62	2016/6/3 11:15	2.3	229	12.1	231	2016/6/3 12:56	4.5	...	...	...	...	...	...	...	...	...	...	...	...	...
4	983.7	...	986	2016/6/4 23:09	982.2	2016/6/4 15:17	29.2	33.7	2016/6/4 12:42	25.4	2016/6/4 03:23	...	75	56	2016/6/4 12:29	2.9	229	13.8	229	2016/6/4 10:05	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	986.1	...	987.5	2016/6/5 21:03	984.3	2016/6/5 02:22	26.7	31.7	2016/6/5 12:35	23.2	2016/6/5 23:06	...	82	62	2016/6/5 12:02	1	203	6.8	28	2016/6/5 15:35	1.5	...	...	...	...	...	...	...	...	...	...	...	...	...
6	986.4	...	987.7	2016/6/6 22:00	985.4	2016/6/6 16:51	25.3	27.4	2016/6/6 07:33	23.3	2016/6/6 03:31	...	88	78	2016/6/6 16:09	1	213	5.8	230	2016/6/6 12:46	12.5	...	...	...	...	...	...	...	...	...	...	...	...	...
7	985.8	...	987.5	2016/6/7 08:33	983.8	2016/6/7 16:17	25.9	30.5	2016/6/7 12:17	23	2016/6/7 06:43	...	85	67	2016/6/7 12:20	0.7	213	5.5	18	2016/6/7 16:24	10.5	...	...	...	...	...	...	...	...	...	...	...	...	...
8	984.2	...	985.6	2016/6/8 00:08	981.8	2016/6/8 16:45	26.6	30.9	2016/6/8 11:14	23.1	2016/6/8 02:39	...	81	61	2016/6/8 11:25	1	207	7.4	15	2016/6/8 14:00	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
9	984.4	...	985.6	2016/6/9 07:43	982.9	2016/6/9 13:43	26.3	30.4	2016/6/9 09:53	24.1	2016/6/9 05:33	...	84	66	2016/6/9 09:26	0.7	57	6.7	4	2016/6/9 13:10	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	985.2	...	986.3	2016/6/10 07:32	984.4	2016/6/10 13:55	25.7	29.3	2016/6/10 12:42	23.5	2016/6/10 05:04	...	86	70	2016/6/10 10:57	0.6	173	6.8	12	2016/6/10 14:11	3.5	...	...	...	...	...	...	...	...	...	...	...	...	...
