ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	988.4	...	989.8	2018/6/1 22:28	986.9	2018/6/1 01:56	22.8	26	2018/6/1 11:25	19.3	2018/6/1 22:16	...	86	75	2018/6/1 14:34	2.6	52	10.8	40	2018/6/1 13:55	3	...	...	...	...	...	...	...	...	...	...	...	...	...
2	987.9	...	989.4	2018/6/2 07:56	986.5	2018/6/2 16:02	23.5	27.7	2018/6/2 11:25	20.1	2018/6/2 00:12	...	78	62	2018/6/2 11:26	2.1	55	7	45	2018/6/2 11:25	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	986	...	987.4	2018/6/3 07:20	984.3	2018/6/3 16:29	25.3	29.7	2018/6/3 10:13	22	2018/6/3 05:32	...	83	65	2018/6/3 10:14	0.8	13	7.1	20	2018/6/3 14:04	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	985.8	...	987.2	2018/6/4 22:12	984.1	2018/6/4 15:38	26.6	32.8	2018/6/4 10:34	22.5	2018/6/4 05:27	...	80	57	2018/6/4 10:34	0.5	10	5.9	30	2018/6/4 11:48	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	986.1	...	987.6	2018/6/5 20:40	984.3	2018/6/5 15:33	27.3	32.3	2018/6/5 12:35	22.6	2018/6/5 05:10	...	77	52	2018/6/5 09:49	0.7	4	5.5	25	2018/6/5 15:45	1	...	...	...	...	...	...	...	...	...	...	...	...	...
6	985.9	...	986.8	2018/6/6 07:48	984.6	2018/6/6 14:11	27.2	33.7	2018/6/6 11:11	23.9	2018/6/6 05:32	...	80	52	2018/6/6 11:10	1.2	50	6.9	29	2018/6/6 12:31	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	983.7	...	985.3	2018/6/7 07:06	981.3	2018/6/7 16:35	28.2	34.1	2018/6/7 12:01	24.2	2018/6/7 03:51	...	75	50	2018/6/7 11:58	1.5	64	7.8	81	2018/6/7 14:53	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	980.1	...	983.3	2018/6/9 00:00	978.5	2018/6/8 14:23	28.2	33.8	2018/6/8 11:24	24.2	2018/6/8 04:07	...	74	54	2018/6/8 10:44	1.7	55	8	57	2018/6/8 14:00	0	...	...	...	...	...	...	...	...	...	...	...	...	...
9	977.8	...	979.6	2018/6/9 07:14	975.8	2018/6/9 17:18	26.6	31.4	2018/6/9 10:02	24	2018/6/9 23:59	...	81	61	2018/6/9 10:03	1.5	13	6.7	12	2018/6/10 00:00	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	977.3	...	978.4	2018/6/10 21:59	975.8	2018/6/10 16:11	26.2	29.9	2018/6/10 08:12	23.6	2018/6/10 23:16	...	84	68	2018/6/10 08:24	0.6	6	6.4	30	2018/6/10 14:38	1	...	...	...	...	...	...	...	...	...	...	...	...	...
11	978.7	...	981.6	2018/6/11 22:34	975.7	2018/6/11 03:37	23.7	25.1	2018/6/11 06:12	21.8	2018/6/11 23:51	...	91	74	2018/6/11 16:55	1	13	8.2	25	2018/6/11 08:37	4.5	...	...	...	...	...	...	...	...	...	...	...	...	...
12	980	...	981.9	2018/6/12 08:17	978.5	2018/6/12 16:56	26	31.3	2018/6/12 12:10	20.3	2018/6/12 04:38	...	59	37	2018/6/12 10:18	1.6	70	9.7	38	2018/6/12 13:51	0	...	...	...	...	...	...	...	...	...	...	...	...	...
13	976.9	...	979.5	2018/6/13 06:05	974.4	2018/6/13 16:41	26	29.7	2018/6/13 12:34	22.9	2018/6/13 01:54	...	67	56	2018/6/13 09:38	2	66	11.1	36	2018/6/13 13:13	0	...	...	...	...	...	...	...	...	...	...	...	...	...
14	975	...	976.2	2018/6/14 22:04	973.8	2018/6/14 16:01	24.4	28.6	2018/6/14 09:54	22.3	2018/6/14 04:24	...	86	71	2018/6/14 09:55	2.2	59	12	36	2018/6/14 17:05	3.5	...	...	...	...	...	...	...	...	...	...	...	...	...
15	977.6	...	982	2018/6/15 23:17	974.5	2018/6/15 00:55	22.6	23.6	2018/6/15 12:52	20.8	2018/6/15 15:51	...	96	89	2018/6/15 12:34	1.4	36	10.7	29	2018/6/15 11:55	30	...	...	...	...	...	...	...	...	...	...	...	...	...
16	981.9	...	982.9	2018/6/16 10:08	980.8	2018/6/16 15:39	24.4	28.1	2018/6/16 13:45	20.6	2018/6/16 00:15	...	82	63	2018/6/16 09:52	2.5	38	10	20	2018/6/16 13:29	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
17	981.5	...	982.6	2018/6/17 07:29	979.7	2018/6/17 14:25	25.5	31.1	2018/6/17 12:00	21.9	2018/6/17 05:11	...	88	62	2018/6/17 12:00	0.9	236	5.9	34	2018/6/17 09:31	30	...	...	...	...	...	...	...	...	...	...	...	...	...
18	981.1	...	982.2	2018/6/18 10:06	980	2018/6/18 15:47	25.8	30.4	2018/6/18 14:08	22.6	2018/6/18 23:50	...	89	69	2018/6/18 14:13	0.7	37	5.8	50	2018/6/18 14:47	10.5	...	...	...	...	...	...	...	...	...	...	...	...	...
19	980.6	...	982.1	2018/6/19 21:42	979.3	2018/6/19 02:43	26.7	30	2018/6/19 13:05	22.6	2018/6/19 01:20	...	76	62	2018/6/19 13:09	3.1	239	12.7	232	2018/6/19 16:51	0	...	...	...	...	...	...	...	...	...	...	...	...	...
20	981.6	...	983.9	2018/6/20 22:44	979.9	2018/6/20 17:10	27.6	30.2	2018/6/20 17:11	23.9	2018/6/20 06:11	...	70	56	2018/6/20 17:01	2.1	230	11.7	229	2018/6/20 13:10	0	...	...	...	...	...	...	...	...	...	...	...	...	...
21	983.1	...	984.7	2018/6/21 23:58	981.6	2018/6/21 15:22	27.7	31.7	2018/6/21 15:22	23.4	2018/6/21 05:52	...	75	59	2018/6/21 09:32	2	239	10	234	2018/6/21 00:23	0	...	...	...	...	...	...	...	...	...	...	...	...	...
22	984.5	...	985.9	2018/6/22 22:19	982.5	2018/6/22 15:53	27.2	32.3	2018/6/22 09:43	23.7	2018/6/22 03:59	...	79	59	2018/6/22 09:50	1.1	237	9.2	238	2018/6/22 14:15	0	...	...	...	...	...	...	...	...	...	...	...	...	...
