ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	989.7	...	991.6	2016/5/1 08:59	987.3	2016/5/1 01:13	21.2	24.1	2016/5/1 12:25	19.2	2016/5/1 05:34	...	91	76	2016/5/1 12:28	0.7	200	3.9	226	2016/5/1 12:38	5.5	...	...	...	...	...	...	...	...	...	...	...	...	...
2	987.4	...	989.7	2016/5/2 07:41	984.9	2016/5/2 17:25	25.7	30.5	2016/5/2 11:56	19.9	2016/5/2 04:05	...	77	58	2016/5/2 11:56	1.5	211	6.6	236	2016/5/2 14:45	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	986.9	...	989.9	2016/5/3 21:51	984.1	2016/5/3 02:51	26.4	30.9	2016/5/3 12:36	22.3	2016/5/3 23:55	...	76	58	2016/5/3 09:27	2.5	227	16.9	229	2016/5/3 06:49	5.5	...	...	...	...	...	...	...	...	...	...	...	...	...
4	989.3	...	990.4	2016/5/4 08:25	988.1	2016/5/4 16:17	25.3	29.1	2016/5/4 13:01	22.1	2016/5/4 03:59	...	83	67	2016/5/4 09:50	0.5	19	6	240	2016/5/4 13:55	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	988.4	...	990	2016/5/5 09:51	986.7	2016/5/5 16:02	25.8	30.9	2016/5/5 11:46	23.3	2016/5/5 22:42	...	83	63	2016/5/5 11:43	0.9	222	6.8	233	2016/5/5 09:03	0	...	...	...	...	...	...	...	...	...	...	...	...	...
6	987.1	...	988.7	2016/5/6 23:52	984.7	2016/5/6 15:39	27	32.2	2016/5/6 13:39	22.3	2016/5/6 03:40	...	79	60	2016/5/6 11:28	1.4	225	9.9	234	2016/5/6 14:28	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	988.7	...	990.5	2016/5/7 22:03	987.3	2016/5/7 05:32	27.5	31.1	2016/5/7 12:31	24.5	2016/5/7 05:42	...	77	58	2016/5/7 16:17	0.5	74	5.1	229	2016/5/7 12:21	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	989.7	...	990.9	2016/5/8 22:13	988.4	2016/5/8 02:57	26.1	29.4	2016/5/8 10:53	23.2	2016/5/8 04:48	...	83	71	2016/5/8 14:19	0.4	5	4.8	24	2016/5/8 12:18	0	...	...	...	...	...	...	...	...	...	...	...	...	...
9	987.7	...	989.9	2016/5/9 00:02	985.5	2016/5/9 23:59	26.7	30.6	2016/5/9 12:19	23.6	2016/5/9 05:31	...	81	62	2016/5/9 10:48	0.9	210	6.2	212	2016/5/9 09:30	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
10	984.2	...	985.8	2016/5/10 20:33	981.8	2016/5/10 16:13	25.8	29.4	2016/5/10 09:51	22.6	2016/5/10 20:41	...	82	64	2016/5/10 09:36	2	229	10.9	226	2016/5/10 17:23	6.5	...	...	...	...	...	...	...	...	...	...	...	...	...
11	986.9	...	988.6	2016/5/11 09:13	985.4	2016/5/11 02:27	19.8	22.8	2016/5/11 00:22	18	2016/5/11 08:11	...	85	70	2016/5/11 14:09	2.7	61	8.7	30	2016/5/11 11:19	44.5	...	...	...	...	...	...	...	...	...	...	...	...	...
12	987	...	988.5	2016/5/12 22:47	985.6	2016/5/12 03:43	23.9	28.4	2016/5/12 13:21	19.2	2016/5/12 03:33	...	82	66	2016/5/12 13:25	0.5	114	3.7	15	2016/5/12 15:43	0	...	...	...	...	...	...	...	...	...	...	...	...	...
13	989.6	...	992.4	2016/5/13 22:19	987.9	2016/5/13 03:43	26.1	31.2	2016/5/13 11:47	22.2	2016/5/13 04:39	...	79	58	2016/5/13 11:48	2.6	41	11.4	21	2016/5/13 14:48	0	...	...	...	...	...	...	...	...	...	...	...	...	...
14	990.5	...	992.2	2016/5/14 09:00	989.2	2016/5/14 03:31	26.2	30.8	2016/5/14 14:21	23.8	2016/5/14 15:42	...	80	58	2016/5/14 10:27	1.2	35	8.2	43	2016/5/14 00:41	13.5	...	...	...	...	...	...	...	...	...	...	...	...	...
15	988.1	...	990.1	2016/5/15 00:05	986.1	2016/5/15 17:27	26.9	31	2016/5/15 13:08	23.4	2016/5/15 01:34	...	77	59	2016/5/15 15:46	1.1	212	7	218	2016/5/15 14:23	0	...	...	...	...	...	...	...	...	...	...	...	...	...
16	988.9	...	990.6	2016/5/16 21:12	986.1	2016/5/16 04:35	19.9	25.4	2016/5/16 00:21	16.6	2016/5/16 23:54	...	89	72	2016/5/16 23:58	3.4	41	14.2	24	2016/5/16 23:28	105.5	...	...	...	...	...	...	...	...	...	...	...	...	...
17	989.8	...	991.4	2016/5/17 09:31	988.5	2016/5/17 02:38	18.4	19.7	2016/5/17 12:40	16.5	2016/5/17 00:27	...	82	72	2016/5/17 00:01	3.3	31	12.4	37	2016/5/17 01:18	0	...	...	...	...	...	...	...	...	...	...	...	...	...
18	989.4	...	991	2016/5/18 09:44	988.1	2016/5/18 03:33	21.6	24.6	2016/5/18 13:05	18.8	2016/5/18 01:15	...	89	78	2016/5/18 16:07	1.2	10	5.5	24	2016/5/18 17:48	0	...	...	...	...	...	...	...	...	...	...	...	...	...
19	987.4	...	988.9	2016/5/19 08:56	986	2016/5/19 16:27	22.7	25.7	2016/5/19 12:53	20	2016/5/19 05:26	...	85	72	2016/5/19 12:55	1.5	2	6.8	27	2016/5/19 14:44	0	...	...	...	...	...	...	...	...	...	...	...	...	...
20	986.1	...	987.3	2016/5/20 22:26	984.7	2016/5/20 03:31	23.2	28.4	2016/5/20 11:36	19.8	2016/5/20 05:04	...	85	62	2016/5/20 11:37	0.9	4	6.2	13	2016/5/20 13:22	0	...	...	...	...	...	...	...	...	...	...	...	...	...
21	986.4	...	987.6	2016/5/21 22:37	985.4	2016/5/21 02:54	23.7	27.2	2016/5/21 12:03	22	2016/5/21 02:25	...	91	73	2016/5/21 12:04	0.4	3	4.3	228	2016/5/21 12:28	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
22	985.9	...	987.1	2016/5/23 00:00	984.5	2016/5/22 16:45	24.2	26	2016/5/22 13:34	22.6	2016/5/22 04:44	...	93	84	2016/5/22 11:17	0.4	12	3.2	2	2016/5/22 15:16	6	...	...	...	...	...	...	...	...	...	...	...	...	...
23	985.5	...	986.7	2016/5/23 08:00	983.7	2016/5/23 16:04	24.9	29.9	2016/5/23 10:58	23	2016/5/23 05:13	...	91	69	2016/5/23 10:15	0.7	50	5.4	14	2016/5/23 13:24	22.5	...	...	...	...	...	...	...	...	...	...	...	...	...
24	984.6	...	985.8	2016/5/24 22:14	983	2016/5/24 16:11	24.3	27.8	2016/5/24 09:43	23	2016/5/24 23:45	...	92	81	2016/5/24 12:41	1.1	81	4.9	90	2016/5/24 16:58	2.5	...	...	...	...	...	...	...	...	...	...	...	...	...
25	985.9	...	987.7	2016/5/25 22:21	984.2	2016/5/25 02:52	24.5	27.3	2016/5/25 11:17	22.6	2016/5/25 03:36	...	89	77	2016/5/25 11:29	0.5	1	4.3	8	2016/5/25 13:36	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
26	986.8	...	988.1	2016/5/26 22:26	985.9	2016/5/26 15:36	26.4	30.4	2016/5/26 11:25	23.3	2016/5/26 05:19	...	85	66	2016/5/26 11:31	0.5	10	4.1	12	2016/5/26 12:37	0	...	...	...	...	...	...	...	...	...	...	...	...	...
27	987.5	...	989.1	2016/5/27 22:17	986	2016/5/27 15:47	26.9	31.7	2016/5/27 10:05	24.2	2016/5/27 05:28	...	86	64	2016/5/27 10:03	0.6	212	5	11	2016/5/27 14:11	29	...	...	...	...	...	...	...	...	...	...	...	...	...
28	985.9	...	988.2	2016/5/28 00:01	983.8	2016/5/28 15:36	28	33.1	2016/5/28 11:38	23.5	2016/5/28 04:21	...	79	58	2016/5/28 11:36	1.7	228	10.7	210	2016/5/28 14:43	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
29	983.8	...	985.5	2016/5/29 21:46	982	2016/5/29 15:09	29.1	33.1	2016/5/29 10:22	25.5	2016/5/29 03:38	...	73	55	2016/5/29 10:23	2.9	225	12.1	224	2016/5/29 16:15	0	...	...	...	...	...	...	...	...	...	...	...	...	...
30	985.6	...	987.6	2016/5/30 21:59	984	2016/5/30 03:49	29	33.1	2016/5/30 12:07	26.3	2016/5/30 05:18	...	77	63	2016/5/30 13:11	1.8	228	8.5	232	2016/5/30 12:07	0	...	...	...	...	...	...	...	...	...	...	...	...	...
31	985.4	...	985.7	2016/5/31 12:29	983.7	2016/5/31 15:59	28.9	32.9	2016/5/31 14:17	26.1	2016/5/31 23:43	...	76	61	2016/5/31 13:41	1.5	230	11.7	232	2016/5/31 13:04	0	...	...	...	...	...	...	...	...	...	...	...	...	...
