ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	989.1	...	991.3	2020/5/1 09:22	987.3	2020/5/1 16:50	23.8	29.2	2020/5/1 13:18	19.1	2020/5/1 04:10	...	68	40	2020/5/1 10:58	0.3	224	3.6	215	2020/5/1 10:58	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	986.2	...	988.3	2020/5/2 08:01	984.8	2020/5/2 23:55	24.6	29.3	2020/5/2 12:09	16.2	2020/5/2 23:42	...	68	44	2020/5/2 09:02	0.5	216	3.9	224	2020/5/2 11:48	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	984.9	...	986.5	2020/5/3 22:34	983.4	2020/5/3 15:03	25.3	29.4	2020/5/3 11:59	16.3	2020/5/3 01:01	...	79	58	2020/5/3 15:51	0.7	233	6.7	223	2020/5/3 11:09	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	986.5	...	987.9	2020/5/4 21:59	985.2	2020/5/4 15:22	26.8	32.3	2020/5/4 12:15	18.1	2020/5/4 03:15	...	76	46	2020/5/4 11:52	0.7	227	5.5	223	2020/5/4 11:59	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	984.5	...	987.2	2020/5/6 00:00	982	2020/5/5 17:26	26.8	31	2020/5/5 11:13	17.1	2020/5/5 05:40	...	78	48	2020/5/5 10:31	0.7	221	7.6	212	2020/5/5 15:23	0	...	...	...	...	...	...	...	...	...	...	...	...	...
6	985.1	...	987.7	2020/5/6 22:10	981.9	2020/5/6 03:47	25.2	31.3	2020/5/6 10:18	15.4	2020/5/6 20:16	...	78	48	2020/5/6 09:21	1	235	7.7	231	2020/5/6 04:41	1	...	...	...	...	...	...	...	...	...	...	...	...	...
7	986.7	...	988.4	2020/5/7 04:52	985.7	2020/5/7 16:59	23.4	25.8	2020/5/7 17:18	15.2	2020/5/7 04:31	...	91	79	2020/5/7 17:19	0.3	123	4.1	163	2020/5/7 05:05	12.5	...	...	...	...	...	...	...	...	...	...	...	...	...
8	985.9	...	987.4	2020/5/8 07:15	984.2	2020/5/8 15:55	25.9	30.8	2020/5/8 12:54	20.8	2020/5/8 18:22	...	81	62	2020/5/8 13:27	0.6	240	5.6	219	2020/5/8 11:43	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
9	985.1	...	986.3	2020/5/9 23:21	983	2020/5/9 17:05	27.2	31.2	2020/5/9 13:06	18.6	2020/5/9 01:30	...	77	54	2020/5/9 15:15	0.7	229	7.6	220	2020/5/9 13:10	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	986.2	...	988.3	2020/5/10 20:59	984.3	2020/5/10 14:50	26.9	31.3	2020/5/10 10:06	18.4	2020/5/10 01:22	...	83	60	2020/5/10 09:51	0.5	333	4.2	222	2020/5/10 13:57	0	...	...	...	...	...	...	...	...	...	...	...	...	...
