ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	988.5	...	990.3	2021/5/1 23:56	986.5	2021/5/1 02:04	23.8	28.9	2021/5/1 11:59	19.7	2021/5/1 03:23	...	72	48	2021/5/1 12:10	1	219	6	230	2021/5/1 09:06	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	990.9	...	992.7	2021/5/2 10:12	989.4	2021/5/2 03:18	23.9	28.5	2021/5/2 11:52	19.4	2021/5/2 05:54	...	78	56	2021/5/2 11:16	1.2	27	7.9	122	2021/5/2 22:24	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	990.2	...	991.9	2021/5/3 09:43	989.1	2021/5/3 23:56	24.2	28.5	2021/5/3 11:50	19.6	2021/5/3 04:31	...	81	45	2021/5/3 12:52	0.3	235	3.4	229	2021/5/3 12:56	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	988.1	...	989.8	2021/5/4 07:34	986	2021/5/4 15:56	25.4	30	2021/5/4 13:53	20.6	2021/5/4 05:51	...	80	56	2021/5/4 11:06	0.6	227	4.8	17	2021/5/4 12:21	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	991.1	...	993.3	2021/5/5 21:55	987.9	2021/5/5 02:29	21.2	25.3	2021/5/5 08:18	16.7	2021/5/5 21:00	...	88	79	2021/5/5 17:51	1.7	48	10.2	45	2021/5/5 17:09	2	...	...	...	...	...	...	...	...	...	...	...	...	...
6	991.7	...	993.2	2021/5/6 08:12	990.2	2021/5/6 16:39	22.2	26.9	2021/5/6 10:39	18.2	2021/5/6 00:02	...	87	70	2021/5/6 10:59	0.7	2	5.7	8	2021/5/6 11:14	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	989.1	...	991.1	2021/5/7 10:03	986.9	2021/5/7 17:05	25.4	29.2	2021/5/7 12:34	21.1	2021/5/7 00:05	...	80	65	2021/5/7 12:16	1	235	7.6	216	2021/5/7 08:23	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	986.9	...	988.3	2021/5/8 18:40	985.5	2021/5/8 15:11	24.2	27.3	2021/5/8 10:26	21.6	2021/5/8 17:11	...	91	79	2021/5/8 10:27	0.5	214	4.7	230	2021/5/8 08:02	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
9	986.4	...	988.3	2021/5/9 10:10	984.6	2021/5/9 23:57	25.3	29.4	2021/5/9 12:41	21.6	2021/5/9 04:31	...	83	69	2021/5/9 11:32	0.6	40	3.8	13	2021/5/9 14:21	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	985.7	...	987.4	2021/5/10 09:13	983.9	2021/5/10 17:14	26.1	30.1	2021/5/10 12:35	21.6	2021/5/10 04:41	...	81	65	2021/5/10 12:37	0.9	233	6	223	2021/5/10 09:16	0	...	...	...	...	...	...	...	...	...	...	...	...	...
11	984.9	...	986.7	2021/5/11 09:24	983.3	2021/5/11 17:41	26.7	31.3	2021/5/11 11:07	23.1	2021/5/11 02:15	...	81	60	2021/5/11 11:23	0.8	224	6.3	224	2021/5/11 12:56	0	...	...	...	...	...	...	...	...	...	...	...	...	...
12	985.3	...	987.4	2021/5/12 21:55	983.6	2021/5/12 15:10	27.6	32.9	2021/5/12 11:55	22.5	2021/5/12 05:25	...	72	50	2021/5/12 09:21	0.8	234	8.9	225	2021/5/12 14:36	0	...	...	...	...	...	...	...	...	...	...	...	...	...
13	986.3	...	987.8	2021/5/13 08:29	984.7	2021/5/13 16:54	27.6	31.3	2021/5/13 13:29	23.6	2021/5/13 05:51	...	76	58	2021/5/13 14:42	1	237	6.7	232	2021/5/13 13:20	0	...	...	...	...	...	...	...	...	...	...	...	...	...
14	986.8	...	988.6	2021/5/14 08:31	985.5	2021/5/14 16:10	27.6	31.1	2021/5/14 15:06	23.8	2021/5/14 05:28	...	77	57	2021/5/14 16:00	0.8	240	5.3	229	2021/5/14 15:12	0	...	...	...	...	...	...	...	...	...	...	...	...	...
15	986.2	...	988.4	2021/5/15 08:11	984.3	2021/5/15 17:23	28	32.1	2021/5/15 12:47	22.8	2021/5/15 05:21	...	79	53	2021/5/15 10:11	0.7	229	4.7	224	2021/5/15 15:04	0	...	...	...	...	...	...	...	...	...	...	...	...	...
16	985.7	...	987.1	2021/5/16 08:19	984.1	2021/5/16 15:48	28.8	34	2021/5/16 11:52	23.7	2021/5/16 04:22	...	75	52	2021/5/16 10:48	1	237	7.9	223	2021/5/16 14:29	0	...	...	...	...	...	...	...	...	...	...	...	...	...
17	986.7	...	...	...	...	...	28.3	...	...	...	...	...	73	...	...	1.1	232	...	...	...	0	...	...	...	...	...	...	...	...	...	...	...	...	...
18	987.1	...	988.5	2021/5/18 09:00	985.5	2021/5/18 15:25	27.1	30.5	2021/5/18 11:37	24.9	2021/5/18 23:21	...	83	71	2021/5/18 11:34	0.6	229	5.8	247	2021/5/18 13:48	0	...	...	...	...	...	...	...	...	...	...	...	...	...
19	985.7	...	987.5	2021/5/19 07:23	984	2021/5/19 16:02	27.3	30.6	2021/5/19 11:22	24.1	2021/5/19 02:36	...	82	64	2021/5/19 10:12	0.6	232	5.6	229	2021/5/19 14:00	0	...	...	...	...	...	...	...	...	...	...	...	...	...
20	985.4	...	986.8	2021/5/20 09:04	984.2	2021/5/20 13:51	27.9	32.9	2021/5/20 13:28	24.4	2021/5/20 05:30	...	73	51	2021/5/20 14:51	1.1	230	7.3	223	2021/5/20 13:08	0	...	...	...	...	...	...	...	...	...	...	...	...	...
21	985.2	...	986.4	2021/5/21 22:09	983.5	2021/5/21 15:57	28.4	33.3	2021/5/21 10:17	23.3	2021/5/21 23:41	...	72	54	2021/5/21 12:42	1.2	217	7.7	225	2021/5/21 14:48	0	...	...	...	...	...	...	...	...	...	...	...	...	...
22	984.8	...	986.5	2021/5/22 22:04	983.4	2021/5/22 14:13	27.6	32.1	2021/5/22 13:50	23.1	2021/5/22 00:21	...	80	53	2021/5/22 14:17	0.9	228	6.8	235	2021/5/22 14:08	0	...	...	...	...	...	...	...	...	...	...	...	...	...
23	985.6	...	986.9	2021/5/23 22:42	984.3	2021/5/23 16:16	28.1	32.7	2021/5/23 11:56	24.7	2021/5/23 02:28	...	78	59	2021/5/23 14:14	0.8	213	6.5	233	2021/5/23 14:46	0	...	...	...	...	...	...	...	...	...	...	...	...	...
24	987.1	...	989.6	2021/5/24 20:35	985.3	2021/5/24 01:18	27.5	33.3	2021/5/24 11:46	21.1	2021/5/24 23:41	...	80	57	2021/5/24 12:44	1.3	77	5.7	217	2021/5/24 08:57	0	...	...	...	...	...	...	...	...	...	...	...	...	...
25	987.8	...	990	2021/5/25 09:24	986.1	2021/5/25 16:08	25.2	29.9	2021/5/25 12:54	21	2021/5/25 00:10	...	86	66	2021/5/25 12:52	1.4	8	7.6	17	2021/5/25 15:39	0	...	...	...	...	...	...	...	...	...	...	...	...	...
26	985.8	...	987.8	2021/5/26 08:08	983.7	2021/5/26 17:32	27.3	31.3	2021/5/26 14:43	21.8	2021/5/26 01:51	...	77	59	2021/5/26 17:12	1.2	221	7.6	222	2021/5/26 16:43	0	...	...	...	...	...	...	...	...	...	...	...	...	...
27	984.9	...	987.1	2021/5/27 21:55	983.4	2021/5/27 03:59	29.4	35.3	2021/5/27 11:02	24.4	2021/5/27 02:13	...	68	42	2021/5/27 10:43	1.6	233	9.6	230	2021/5/27 10:07	0	...	...	...	...	...	...	...	...	...	...	...	...	...
28	984.7	...	987.1	2021/5/28 21:26	982.4	2021/5/28 14:23	29.3	35.2	2021/5/28 12:29	24.6	2021/5/28 23:52	...	74	47	2021/5/28 10:09	1.4	234	11.7	221	2021/5/28 11:46	0	...	...	...	...	...	...	...	...	...	...	...	...	...
29	983.3	...	985.2	2021/5/29 00:09	980.8	2021/5/29 16:19	25.9	28.1	2021/5/29 07:56	23.2	2021/5/29 21:51	...	92	78	2021/5/29 09:22	0.8	242	8	226	2021/5/29 15:08	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
30	981.7	...	983.6	2021/5/30 21:46	980.1	2021/5/30 15:29	24.6	28.7	2021/5/30 10:16	21.8	2021/5/30 18:42	...	95	73	2021/5/30 10:15	0.6	233	5	14	2021/5/30 16:15	11.5	...	...	...	...	...	...	...	...	...	...	...	...	...
31	983.1	...	984.5	2021/5/31 21:53	980.8	2021/5/31 00:05	22.8	23.9	2021/5/31 00:53	20.5	2021/5/31 18:41	...	98	91	2021/5/31 12:16	0.8	25	5.7	37	2021/5/31 12:26	65	...	...	...	...	...	...	...	...	...	...	...	...	...
