ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,985.6,...,987.4,2012/6/1 08:54,983.1,2012/6/1 16:09,23.4,26.3,2012/6/1 14:20,21.1,2012/6/1 01:23,...,83,66,2012/6/1 11:50,3.1,38,11.1,4,2012/6/1 12:39,0,...,...,...,...,...,...,...,...,...,...,...,...,...
2,983.6,...,985,2012/6/2 09:54,982.1,2012/6/2 16:01,23.2,24.3,2012/6/2 14:54,22.5,2012/6/2 19:49,...,94,86,2012/6/2 12:21,2.3,19,8,20,2012/6/2 16:12,2.5,...,...,...,...,...,...,...,...,...,...,...,...,...
3,981.6,...,982.6,2012/6/3 21:37,980.3,2012/6/3 17:03,23.3,26.1,2012/6/3 11:56,22.4,2012/6/3 06:13,...,96,77,2012/6/3 11:58,3.5,31,14.5,28,2012/6/3 11:35,1.5,...,...,...,...,...,...,...,...,...,...,...,...,...
4,980.8,...,981.7,2012/6/4 09:12,979.3,2012/6/4 15:51,23.5,24.3,2012/6/4 14:17,22.6,2012/6/4 00:04,...,100,100,2012/6/5 00:00,2.7,9,9.5,15,2012/6/4 00:40,5.5,...,...,...,...,...,...,...,...,...,...,...,...,...
5,981.8,...,983.2,2012/6/5 21:43,980.5,2012/6/5 01:31,24.6,28.1,2012/6/5 12:35,22.9,2012/6/5 04:15,...,91,71,2012/6/5 12:42,1.9,5,6.8,9,2012/6/5 14:13,1,...,...,...,...,...,...,...,...,...,...,...,...,...
6,981.6,...,982.5,2012/6/6 22:35,980.5,2012/6/6 16:03,26.1,31,2012/6/6 11:14,22.1,2012/6/6 05:28,...,85,60,2012/6/6 10:53,1.2,42,8.6,240,2012/6/6 22:54,0,...,...,...,...,...,...,...,...,...,...,...,...,...
7,981.8,...,983.2,2012/6/7 23:30,980.4,2012/6/7 15:12,28,32.5,2012/6/7 14:11,24.4,2012/6/7 06:30,...,84,61,2012/6/7 12:58,1.2,232,8.1,334,2012/6/7 08:57,0,...,...,...,...,...,...,...,...,...,...,...,...,...
8,982.1,...,983.3,2012/6/8 00:14,980.6,2012/6/8 15:34,28.8,32.2,2012/6/8 12:13,25.7,2012/6/8 05:13,...,77,61,2012/6/8 13:05,1.6,243,11.4,229,2012/6/8 12:42,0,...,...,...,...,...,...,...,...,...,...,...,...,...
9,980.4,...,982.5,2012/6/10 00:00,978.7,2012/6/9 18:21,28.5,31.7,2012/6/9 11:53,25.5,2012/6/9 03:34,...,74,57,2012/6/9 15:24,2.2,238,13,219,2012/6/9 14:52,0,...,...,...,...,...,...,...,...,...,...,...,...,...
10,977.4,...,979,2012/6/10 06:19,975.8,2012/6/10 16:28,28.5,31.5,2012/6/10 09:42,25.1,2012/6/10 05:01,...,73,57,2012/6/10 09:43,2.7,239,12,242,2012/6/10 11:32,0,...,...,...,...,...,...,...,...,...,...,...,...,...
11,975.2,...,977.5,2012/6/11 23:15,973.6,2012/6/11 17:38,27.9,30.3,2012/6/11 10:24,22.9,2012/6/11 23:41,...,79,65,2012/6/11 10:19,4.4,238,15.2,242,2012/6/11 09:56,126.5,...,...,...,...,...,...,...,...,...,...,...,...,...
12,976.2,...,979.6,2012/6/12 22:03,973.8,2012/6/12 05:41,23.3,25.5,2012/6/12 06:26,21.7,2012/6/12 22:37,...,100,100,2012/6/13 00:00,1.4,15,10.5,234,2012/6/12 06:14,312,...,...,...,...,...,...,...,...,...,...,...,...,...
13,979.6,...,980.9,2012/6/13 22:39,978.4,2012/6/13 02:00,24.3,28,2012/6/13 14:52,21.8,2012/6/13 03:52,...,81,49,2012/6/13 16:25,1.7,49,8.6,73,2012/6/13 15:30,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
14,979.6,...,980.7,2012/6/14 07:22,978.5,2012/6/14 23:41,24.7,27.6,2012/6/14 09:58,22.6,2012/6/14 04:59,...,95,72,2012/6/14 09:53,1.1,73,6,10,2012/6/14 10:43,3.5,...,...,...,...,...,...,...,...,...,...,...,...,...
15,978.9,...,981.7,2012/6/15 22:27,977.2,2012/6/15 05:32,25.8,30.9,2012/6/15 13:18,23.6,2012/6/15 06:15,...,94,63,2012/6/15 13:45,0.8,223,8.3,249,2012/6/15 16:18,6.5,...,...,...,...,...,...,...,...,...,...,...,...,...
16,982.5,...,984,2012/6/16 22:56,980.4,2012/6/16 03:34,24.9,28.2,2012/6/16 10:20,24.2,2012/6/16 15:48,...,100,89,2012/6/16 10:23,0.6,2,4.7,125,2012/6/16 15:47,10,...,...,...,...,...,...,...,...,...,...,...,...,...
17,982.5,...,983.7,2012/6/17 07:15,981,2012/6/17 17:07,26.9,32.2,2012/6/17 12:42,23.6,2012/6/17 03:40,...,91,58,2012/6/17 12:39,1,225,16.8,309,2012/6/17 12:43,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
18,979.7,...,982.2,2012/6/18 00:02,978,2012/6/18 16:39,27.1,31.3,2012/6/18 11:17,25.1,2012/6/18 22:42,...,84,56,2012/6/18 11:17,1.1,243,10.2,306,2012/6/18 14:04,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
19,977.2,...,978.7,2012/6/19 00:17,975.8,2012/6/19 17:31,25.5,28.2,2012/6/19 13:35,23.9,2012/6/19 06:06,...,96,74,2012/6/19 12:55,0.6,23,4.7,237,2012/6/19 15:29,11.5,...,...,...,...,...,...,...,...,...,...,...,...,...
20,976.3,...,979,2012/6/20 23:50,973.7,2012/6/20 19:19,24.2,26.3,2012/6/20 10:16,22.3,2012/6/20 23:53,...,100,99,2012/6/20 10:47,1.2,359,10.1,19,2012/6/20 20:15,33.5,...,...,...,...,...,...,...,...,...,...,...,...,...
21,983.3,...,986,2012/6/21 21:58,978.9,2012/6/22 00:00,23.1,24.1,2012/6/21 11:52,21.9,2012/6/21 05:12,...,100,100,2012/6/22 00:00,0.7,43,3.9,247,2012/6/21 02:23,19.5,...,...,...,...,...,...,...,...,...,...,...,...,...
22,984.5,...,985.5,2012/6/22 08:38,983.3,2012/6/22 16:37,25.4,29.5,2012/6/22 11:21,22.7,2012/6/22 04:18,...,96,69,2012/6/22 12:16,0.6,120,6.8,237,2012/6/22 20:16,13,...,...,...,...,...,...,...,...,...,...,...,...,...
23,982.9,...,984.5,2012/6/23 22:11,981.4,2012/6/23 14:46,26.9,30.9,2012/6/23 14:55,23.2,2012/6/23 05:27,...,88,63,2012/6/23 12:31,1.1,237,8.6,246,2012/6/23 15:34,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
24,983.2,...,984.2,2012/6/24 22:15,982.3,2012/6/24 16:32,28,32.3,2012/6/24 12:34,23.8,2012/6/24 05:33,...,77,50,2012/6/24 12:25,1.5,237,11.6,238,2012/6/24 04:49,0,...,...,...,...,...,...,...,...,...,...,...,...,...
25,983.4,...,984.2,2012/6/25 09:21,982.2,2012/6/25 16:12,27.4,32.3,2012/6/25 11:37,24.4,2012/6/25 04:00,...,83,51,2012/6/25 11:38,0.9,233,15.4,124,2012/6/25 21:48,0,...,...,...,...,...,...,...,...,...,...,...,...,...
26,983.7,...,985.3,2012/6/26 22:34,982.8,2012/6/26 14:15,27.6,32,2012/6/26 09:10,24.4,2012/6/26 04:29,...,84,49,2012/6/26 10:28,1.1,240,10.1,305,2012/6/26 11:41,0.5,...,...,...,...,...,...,...,...,...,...,...,...,...
27,984.8,...,985.6,2012/6/27 09:08,984.2,2012/6/27 14:12,27.5,32.6,2012/6/27 10:41,24.3,2012/6/27 04:54,...,81,48,2012/6/27 10:42,0.8,2,12.7,32,2012/6/27 14:22,0,...,...,...,...,...,...,...,...,...,...,...,...,...
28,981.5,...,985.1,2012/6/28 06:57,977.8,2012/6/28 18:24,28.5,33.2,2012/6/28 13:12,24.2,2012/6/28 03:36,...,72,48,2012/6/28 11:58,3.1,73,14.1,81,2012/6/28 20:13,0,...,...,...,...,...,...,...,...,...,...,...,...,...
29,981.7,...,985.2,2012/6/29 23:51,977.6,2012/6/29 00:41,27.4,30.7,2012/6/29 12:57,25.2,2012/6/29 05:39,...,84,60,2012/6/29 12:58,0.7,224,17.8,309,2012/6/29 11:20,0,...,...,...,...,...,...,...,...,...,...,...,...,...
30,986,...,988.8,2012/6/30 23:43,984.6,2012/6/30 02:37,27,30.1,2012/6/30 13:34,24.6,2012/6/30 04:51,...,93,76,2012/6/30 13:34,0.7,342,14.3,19,2012/6/30 13:05,7,...,...,...,...,...,...,...,...,...,...,...,...,...
