ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,986.9,...,989,2015/6/1 22:24,984.2,2015/6/1 03:32,25.9,28.6,2015/6/1 16:42,23.7,2015/6/1 03:11,...,87,77,2015/6/1 16:42,0.7,219,5.4,224,2015/6/1 17:10,3.5,...,...,...,...,...,...,...,...,...,...,...,...,...
2,987,...,988.1,2015/6/2 00:01,985.8,2015/6/2 15:11,27.9,32.7,2015/6/2 11:37,23.5,2015/6/2 04:19,...,77,55,2015/6/2 11:26,1.5,210,10.5,224,2015/6/2 14:21,0,...,...,...,...,...,...,...,...,...,...,...,...,...
3,986.9,...,988.4,2015/6/3 23:34,985.4,2015/6/3 17:04,28,32.4,2015/6/3 14:10,23.6,2015/6/3 05:13,...,75,55,2015/6/3 14:10,1.7,214,10.6,223,2015/6/3 13:29,0,...,...,...,...,...,...,...,...,...,...,...,...,...
4,986.4,...,988.3,2015/6/4 00:15,984.4,2015/6/4 17:10,26.7,30.3,2015/6/4 12:11,24.8,2015/6/4 05:28,...,84,66,2015/6/4 09:05,0.8,214,5.8,227,2015/6/4 09:05,0,...,...,...,...,...,...,...,...,...,...,...,...,...
5,984,...,985.7,2015/6/5 22:56,982.3,2015/6/5 14:29,28.1,33.4,2015/6/5 12:05,25.6,2015/6/5 00:39,...,76,49,2015/6/5 11:42,2,227,10.7,230,2015/6/5 10:34,0,...,...,...,...,...,...,...,...,...,...,...,...,...
6,986.3,...,988.3,2015/6/6 22:20,984.8,2015/6/6 01:32,25.9,29.6,2015/6/6 11:17,24,2015/6/6 06:04,...,88,67,2015/6/6 11:19,0.4,42,5.9,360,2015/6/6 11:37,1,...,...,...,...,...,...,...,...,...,...,...,...,...
7,987.1,...,988.4,2015/6/7 08:35,986.2,2015/6/7 15:10,27.2,31.8,2015/6/7 12:55,24.5,2015/6/7 05:21,...,82,63,2015/6/7 11:48,1.1,211,7.5,249,2015/6/7 12:57,0,...,...,...,...,...,...,...,...,...,...,...,...,...
8,985.4,...,986.7,2015/6/8 08:44,983.7,2015/6/8 17:18,27.6,32,2015/6/8 11:21,24.1,2015/6/8 02:16,...,75,49,2015/6/8 11:13,1.8,205,9.6,237,2015/6/8 13:00,0,...,...,...,...,...,...,...,...,...,...,...,...,...
9,984.4,...,985.6,2015/6/9 23:25,982.8,2015/6/9 16:18,28.1,33.6,2015/6/9 12:03,22.2,2015/6/9 04:55,...,72,48,2015/6/9 11:32,1.9,209,10.7,229,2015/6/9 11:17,0,...,...,...,...,...,...,...,...,...,...,...,...,...
10,984.8,...,986.1,2015/6/10 08:07,982.5,2015/6/10 16:19,28.8,33.5,2015/6/10 13:30,24.4,2015/6/10 05:43,...,72,51,2015/6/10 13:30,1.8,210,9.3,206,2015/6/10 14:29,0,...,...,...,...,...,...,...,...,...,...,...,...,...
