ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	984.5	...	986.3	2019/6/1 00:02	982.3	2019/6/1 14:54	25.5	29.6	2019/6/1 12:41	20.7	2019/6/1 17:10	...	87	65	2019/6/1 14:30	0.5	244	6.1	230	2019/6/1 15:24	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	982.4	...	984.5	2019/6/2 22:31	980.8	2019/6/2 16:02	27.9	31.5	2019/6/2 11:45	21.8	2019/6/2 23:01	...	72	54	2019/6/2 10:42	2	231	11	227	2019/6/2 10:01	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	983.9	...	985.4	2019/6/3 22:01	982.7	2019/6/3 16:22	26.3	30.5	2019/6/3 11:17	17.3	2019/6/3 05:11	...	81	60	2019/6/3 11:16	0.9	234	8.6	223	2019/6/3 13:16	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	985.8	...	987.6	2019/6/4 10:47	983.9	2019/6/4 02:05	25.3	28.6	2019/6/4 15:05	18.5	2019/6/4 01:51	...	84	64	2019/6/4 08:21	0.7	167	7.5	222	2019/6/4 14:40	17.5	...	...	...	...	...	...	...	...	...	...	...	...	...
5	987.5	...	988.8	2019/6/5 22:54	986.1	2019/6/5 03:03	26.7	31.3	2019/6/5 09:25	18.2	2019/6/5 04:21	...	79	52	2019/6/5 09:21	0.5	215	3.5	219	2019/6/5 15:33	0	...	...	...	...	...	...	...	...	...	...	...	...	...
6	987.4	...	988.8	2019/6/6 10:12	986.2	2019/6/6 03:22	27.7	31.7	2019/6/6 12:35	19.2	2019/6/6 00:21	...	77	54	2019/6/6 08:51	1.1	238	7	222	2019/6/6 12:31	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	986.9	...	988.1	2019/6/7 07:07	985.8	2019/6/7 15:33	27.8	31.9	2019/6/7 12:03	24.4	2019/6/7 03:43	...	77	54	2019/6/7 10:13	1.1	221	6.5	213	2019/6/7 08:04	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	984.5	...	986.8	2019/6/8 07:29	982.5	2019/6/8 23:59	27.2	31.7	2019/6/8 13:06	18.8	2019/6/8 05:21	...	79	60	2019/6/8 13:08	1.1	230	7.2	213	2019/6/8 11:36	0	...	...	...	...	...	...	...	...	...	...	...	...	...
9	981	...	982.6	2019/6/9 00:01	979.1	2019/6/9 16:09	28.4	31.4	2019/6/9 12:15	19.2	2019/6/9 01:21	...	66	50	2019/6/9 10:21	2.1	233	12.9	214	2019/6/9 11:35	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	980.1	...	981.6	2019/6/10 21:39	978.3	2019/6/10 03:15	25.9	29.5	2019/6/10 10:33	13.2	2019/6/10 13:22	...	77	53	2019/6/10 06:15	1.7	232	9.1	212	2019/6/10 03:49	3.5	...	...	...	...	...	...	...	...	...	...	...	...	...
