ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	0	...	...	...	...	...	...	...	...	...	...	...	...	...
2	989.3	...	990.2	2017/5/2 11:45	988.7	2017/5/2 15:55	23.9	27.9	2017/5/2 11:42	22.1	2017/5/2 20:32	...	79	59	2017/5/2 11:44	0.5	332	4.4	14	2017/5/2 13:12	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	989.5	...	991.2	2017/5/3 08:24	987.8	2017/5/3 15:32	24.2	29.3	2017/5/3 12:32	21.6	2017/5/3 23:47	...	85	64	2017/5/3 12:33	0.6	5	6.8	21	2017/5/3 14:09	1	...	...	...	...	...	...	...	...	...	...	...	...	...
4	988.9	...	990.4	2017/5/4 21:56	987.7	2017/5/4 01:55	24.5	28.7	2017/5/4 11:48	20.8	2017/5/4 03:55	...	84	70	2017/5/4 12:21	0.7	174	5.1	210	2017/5/4 17:18	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	990.8	...	993.2	2017/5/5 22:39	988.8	2017/5/5 02:58	25.2	28.8	2017/5/5 07:57	22.5	2017/5/5 01:42	...	84	67	2017/5/5 08:12	0.6	335	6	12	2017/5/5 13:45	0	...	...	...	...	...	...	...	...	...	...	...	...	...
6	992.6	...	993.9	2017/5/6 09:44	991.5	2017/5/6 02:17	22.8	27.1	2017/5/6 10:16	20.6	2017/5/6 20:59	...	88	77	2017/5/6 10:21	1.7	62	8.2	43	2017/5/6 22:11	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	991.7	...	993.3	2017/5/7 00:09	989.4	2017/5/7 16:38	22.6	25.9	2017/5/7 13:33	20.3	2017/5/7 23:59	...	83	73	2017/5/7 12:26	2.4	48	8.3	34	2017/5/7 14:21	0	...	...	...	...	...	...	...	...	...	...	...	...	...
8	988.5	...	991	2017/5/8 00:13	986.2	2017/5/8 16:45	24.8	29.5	2017/5/8 12:00	19.9	2017/5/8 04:53	...	80	63	2017/5/8 12:01	1.2	233	7.5	220	2017/5/8 12:02	0	...	...	...	...	...	...	...	...	...	...	...	...	...
9	988.7	...	991	2017/5/9 22:10	985.7	2017/5/9 03:14	23.6	26	2017/5/9 15:43	21.8	2017/5/9 04:54	...	88	78	2017/5/9 15:52	0.6	259	5.3	213	2017/5/9 06:54	2.5	...	...	...	...	...	...	...	...	...	...	...	...	...
10	990.8	...	992.2	2017/5/10 21:39	989.3	2017/5/10 16:31	26.2	31.6	2017/5/10 11:45	19.8	2017/5/10 05:02	...	76	52	2017/5/10 11:42	0.5	36	4.7	22	2017/5/10 13:37	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
11	990.8	...	992.2	2017/5/11 07:26	989.5	2017/5/11 16:19	26.8	31.6	2017/5/11 11:04	23.1	2017/5/11 04:25	...	76	50	2017/5/11 15:27	0.6	81	5.2	239	2017/5/11 12:41	0	...	...	...	...	...	...	...	...	...	...	...	...	...
12	987.1	...	989.9	2017/5/13 00:00	985.2	2017/5/12 15:59	25.9	30.5	2017/5/12 13:01	23	2017/5/12 01:56	...	82	66	2017/5/12 13:06	0.9	207	7	214	2017/5/12 16:16	0	...	...	...	...	...	...	...	...	...	...	...	...	...
13	986.3	...	988.7	2017/5/13 22:32	984.1	2017/5/13 04:18	24.1	26.2	2017/5/13 00:26	22.3	2017/5/13 23:57	...	90	85	2017/5/13 04:45	0.9	8	7.7	230	2017/5/13 05:10	3	...	...	...	...	...	...	...	...	...	...	...	...	...
14	987.6	...	989.4	2017/5/14 09:44	985.9	2017/5/14 16:38	24.5	29.1	2017/5/14 12:40	21.6	2017/5/14 05:26	...	84	65	2017/5/14 12:44	0.8	6	7.4	20	2017/5/14 15:26	0	...	...	...	...	...	...	...	...	...	...	...	...	...
15	986.9	...	988.2	2017/5/15 06:31	984.8	2017/5/15 14:10	24.3	30.5	2017/5/15 10:41	19.8	2017/5/15 23:29	...	84	61	2017/5/15 10:42	1.1	3	8.3	19	2017/5/15 19:43	11	...	...	...	...	...	...	...	...	...	...	...	...	...
16	985.5	...	987	2017/5/16 00:19	984.1	2017/5/16 13:55	19.3	20.5	2017/5/16 10:49	18.3	2017/5/16 19:53	...	96	94	2017/5/16 03:56	1.4	49	7.6	21	2017/5/16 11:21	46.5	...	...	...	...	...	...	...	...	...	...	...	...	...
