ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	986.6	...	989.2	2019/5/1 21:56	982	2019/5/1 02:58	19	23.1	2019/5/1 00:08	15	2019/5/1 09:21	...	96	80	2019/5/1 23:45	1.3	46	10.9	29	2019/5/1 23:44	63	...	...	...	...	...	...	...	...	...	...	...	...	...
2	989.3	...	991.3	2019/5/2 21:58	987.2	2019/5/2 03:49	17.7	19.8	2019/5/2 05:42	13.3	2019/5/2 14:15	...	84	64	2019/5/2 03:23	3.2	54	12.3	32	2019/5/2 10:39	10.5	...	...	...	...	...	...	...	...	...	...	...	...	...
3	990.6	...	992.5	2019/5/3 10:05	989.3	2019/5/3 05:19	19.9	23.1	2019/5/3 12:12	16.2	2019/5/3 07:42	...	71	56	2019/5/3 15:11	3.7	35	12.4	22	2019/5/3 11:06	3	...	...	...	...	...	...	...	...	...	...	...	...	...
4	989.8	...	991.1	2019/5/4 09:42	988.3	2019/5/4 16:41	20.3	22.1	2019/5/4 15:29	17.1	2019/5/4 09:21	...	78	69	2019/5/5 00:00	1.8	53	8.9	40	2019/5/4 06:50	1	...	...	...	...	...	...	...	...	...	...	...	...	...
5	987.4	...	989.5	2019/5/5 00:23	984.2	2019/5/5 15:27	22.1	26.5	2019/5/5 11:17	18.1	2019/5/5 05:54	...	75	57	2019/5/5 11:18	1.7	57	7.2	36	2019/5/5 13:17	1	...	...	...	...	...	...	...	...	...	...	...	...	...
6	987.1	...	988.9	2019/5/6 20:45	985.1	2019/5/6 02:49	19	21.2	2019/5/6 09:54	14.9	2019/5/6 16:14	...	88	72	2019/5/6 09:51	3.2	31	11.1	30	2019/5/6 10:35	7.5	...	...	...	...	...	...	...	...	...	...	...	...	...
7	987.9	...	989.7	2019/5/7 08:28	986.2	2019/5/7 14:57	17	18.2	2019/5/7 22:22	14.2	2019/5/7 11:15	...	91	80	2019/5/7 22:23	4.1	34	15.6	37	2019/5/7 14:56	6	...	...	...	...	...	...	...	...	...	...	...	...	...
8	986.4	...	988	2019/5/8 08:56	984.7	2019/5/8 16:35	18.8	21.1	2019/5/8 11:32	17.4	2019/5/8 02:30	...	96	86	2019/5/9 00:00	0.9	47	6	83	2019/5/8 00:44	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
9	985.7	...	987.2	2019/5/9 21:55	984.3	2019/5/9 16:24	19.2	20.7	2019/5/9 11:52	16.3	2019/5/9 05:51	...	98	95	2019/5/9 08:50	1.1	27	5.5	21	2019/5/9 13:18	14	...	...	...	...	...	...	...	...	...	...	...	...	...
10	986.7	...	988	2019/5/10 22:06	985.2	2019/5/10 01:47	20.1	23.1	2019/5/10 16:18	15.8	2019/5/10 00:03	...	92	83	2019/5/10 17:38	1.4	33	6.9	31	2019/5/10 20:10	2	...	...	...	...	...	...	...	...	...	...	...	...	...
11	987.9	...	989.5	2019/5/11 08:49	986.5	2019/5/11 02:51	22.1	26.2	2019/5/11 10:28	16.8	2019/5/11 00:12	...	90	76	2019/5/11 10:23	1.3	55	5.6	20	2019/5/11 13:37	0	...	...	...	...	...	...	...	...	...	...	...	...	...
12	987.4	...	988.7	2019/5/12 06:51	985.4	2019/5/12 16:04	24.6	29.9	2019/5/12 14:51	17.2	2019/5/12 05:12	...	86	66	2019/5/12 09:51	0.9	8	6	23	2019/5/12 17:15	0	...	...	...	...	...	...	...	...	...	...	...	...	...
13	986.7	...	988.1	2019/5/13 09:59	985.1	2019/5/13 16:46	25.8	29.7	2019/5/13 15:04	19.1	2019/5/13 05:30	...	76	51	2019/5/13 15:02	0.8	214	6.1	217	2019/5/13 13:50	0	...	...	...	...	...	...	...	...	...	...	...	...	...
14	986.3	...	987.7	2019/5/14 21:48	984.7	2019/5/14 01:56	24.9	28.3	2019/5/14 13:41	20.1	2019/5/14 02:12	...	86	71	2019/5/14 11:32	0.7	224	4.8	219	2019/5/14 11:15	0	...	...	...	...	...	...	...	...	...	...	...	...	...
