ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpMax60,PrecpMax60Time,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,986.5,...,988.0,2010-06-01 21:55,985.3,2010-06-01 00:25,21.4,25.9,2010-06-01 11:21,17.1,2010-06-01 02:57,...,72,49,2010-06-01 11:19,2.8,6,9.9,16,2010-06-01 12:45,0.0,...,...,...,...,...,/,...,...,...,...,...,...,...
2,987.6,...,989.1,2010-06-02 21:32,986.2,2010-06-02 03:07,19.9,21.7,2010-06-02 11:46,17.7,2010-06-02 21:54,...,82,71,2010-06-02 08:55,3.4,26,12.6,25,2010-06-02 13:14,11.5,...,...,...,...,...,/,...,...,...,...,...,...,...
3,986.3,...,987.9,2010-06-03 00:06,984.7,2010-06-03 23:59,20.5,22.4,2010-06-03 14:09,18.3,2010-06-03 00:01,...,94,93,2010-06-03 22:49,1.8,10,8.2,83,2010-06-03 04:56,46.0,...,...,...,...,...,/,...,...,...,...,...,...,...
4,985.2,...,986.6,2010-06-04 21:34,983.9,2010-06-04 04:23,21.2,24.9,2010-06-04 09:27,19.8,2010-06-04 22:33,...,92,78,2010-06-04 09:32,1.9,5,9.2,3,2010-06-04 14:57,11.0,...,...,...,...,...,/,...,...,...,...,...,...,...
5,985.9,...,987.2,2010-06-05 21:57,984.3,2010-06-05 03:48,20.2,21.3,2010-06-05 13:05,19.5,2010-06-05 18:58,...,94,89,2010-06-05 13:13,2.7,12,9.8,6,2010-06-05 12:33,1.5,...,...,...,...,...,/,...,...,...,...,...,...,...
6,986.4,...,987.5,2010-06-06 10:13,984.7,2010-06-06 02:02,20.7,22.9,2010-06-06 10:43,19.6,2010-06-06 01:06,...,91,83,2010-06-06 16:54,2.5,39,7.1,7,2010-06-06 11:41,0.5,...,...,...,...,...,/,...,...,...,...,...,...,...
7,987.7,...,989.1,2010-06-07 08:37,986.5,2010-06-07 16:20,22.2,26.9,2010-06-07 12:15,18.9,2010-06-07 04:39,...,80,57,2010-06-07 11:21,2.3,1,8.5,4,2010-06-07 14:40,0.0,...,...,...,...,...,/,...,...,...,...,...,...,...
8,987.3,...,989.1,2010-06-08 07:27,985.6,2010-06-08 18:52,23.4,29.0,2010-06-08 11:42,18.5,2010-06-08 04:32,...,75,44,2010-06-08 11:19,1.4,4,6.8,9,2010-06-08 13:37,0.0,...,...,...,...,...,/,...,...,...,...,...,...,...
9,986.2,...,987.9,2010-06-09 21:21,984.9,2010-06-09 14:16,24.3,30.5,2010-06-09 12:10,21.0,2010-06-09 01:27,...,80,53,2010-06-09 12:12,0.6,225,7.5,330,2010-06-09 12:49,1.0,...,...,...,...,...,/,...,...,...,...,...,...,...
10,985.5,...,987.0,2010-06-10 08:25,984.2,2010-06-10 14:43,23.8,26.8,2010-06-10 12:44,22.8,2010-06-10 21:15,...,92,73,2010-06-10 12:29,0.3,20,4.1,209,2010-06-10 20:42,61.0,...,...,...,...,...,/,...,...,...,...,...,...,...
