ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	987.8	...	989.2	2020/6/1 23:37	985.5	2020/6/1 15:39	27.8	32	2020/6/1 11:59	24.6	2020/6/1 04:35	...	80	58	2020/6/1 13:14	0.4	224	6.5	229	2020/6/1 13:58	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
2	986.6	...	989.1	2020/6/2 00:12	984.7	2020/6/2 16:28	27.1	30.5	2020/6/2 14:00	23.8	2020/6/2 02:33	...	83	69	2020/6/2 14:01	0.4	237	4.4	224	2020/6/2 14:13	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
3	985	...	986.7	2020/6/3 09:10	982.3	2020/6/3 16:36	27.9	32	2020/6/3 14:40	23.7	2020/6/3 04:31	...	75	58	2020/6/3 15:49	0.8	234	8.2	228	2020/6/3 08:32	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	984.4	...	985.6	2020/6/4 22:58	983	2020/6/4 03:11	28.2	33	2020/6/4 11:30	23.2	2020/6/4 04:46	...	72	51	2020/6/4 11:53	0.9	230	8.4	223	2020/6/4 10:14	0	...	...	...	...	...	...	...	...	...	...	...	...	...
5	984.3	...	986	2020/6/5 09:02	982	2020/6/5 17:11	28.2	31.9	2020/6/5 11:17	23.5	2020/6/5 05:02	...	77	57	2020/6/5 11:07	0.7	232	6.8	222	2020/6/5 15:33	0	...	...	...	...	...	...	...	...	...	...	...	...	...
6	983.3	...	984.4	2020/6/6 09:43	982	2020/6/6 13:09	28.4	32.5	2020/6/6 11:52	23.4	2020/6/6 05:20	...	74	58	2020/6/6 10:44	0.9	231	8.3	227	2020/6/6 10:53	0	...	...	...	...	...	...	...	...	...	...	...	...	...
7	984.2	...	985.6	2020/6/7 21:51	983.2	2020/6/7 01:55	25	28.6	2020/6/7 11:24	22.6	2020/6/7 23:21	...	88	67	2020/6/7 07:06	0.3	229	5.7	218	2020/6/7 12:37	9.5	...	...	...	...	...	...	...	...	...	...	...	...	...
8	985.3	...	986.4	2020/6/8 10:43	983.6	2020/6/8 03:15	24.2	26.8	2020/6/8 13:44	22	2020/6/8 23:01	...	91	74	2020/6/8 13:41	0.2	46	5.2	213	2020/6/8 17:44	2	...	...	...	...	...	...	...	...	...	...	...	...	...
9	986.2	...	987.2	2020/6/9 21:58	984.9	2020/6/9 04:22	25.3	28.8	2020/6/9 11:28	21.9	2020/6/9 01:22	...	83	64	2020/6/9 11:25	0.3	125	4.5	224	2020/6/9 17:07	0	...	...	...	...	...	...	...	...	...	...	...	...	...
10	986	...	987.5	2020/6/10 09:23	984.6	2020/6/10 15:39	27	30.8	2020/6/10 13:24	23.1	2020/6/10 05:08	...	76	55	2020/6/10 09:10	0.4	231	5.9	221	2020/6/10 12:02	0	...	...	...	...	...	...	...	...	...	...	...	...	...
11	984.8	...	986.3	2020/6/11 08:26	983.1	2020/6/11 17:09	27.6	30.8	2020/6/11 11:43	24.4	2020/6/11 06:12	...	84	64	2020/6/11 11:32	0.2	164	5.1	215	2020/6/11 12:06	0	...	...	...	...	...	...	...	...	...	...	...	...	...
12	983.7	...	985.3	2020/6/12 09:04	981.9	2020/6/12 17:24	28	31	2020/6/12 11:08	25.2	2020/6/12 02:12	...	83	69	2020/6/12 09:25	0.2	222	2.8	51	2020/6/12 15:39	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
13	984.9	...	988.1	2020/6/13 21:41	982.4	2020/6/13 02:53	28.1	31.8	2020/6/13 11:14	25.4	2020/6/13 22:42	...	81	64	2020/6/13 11:13	0.2	332	3.2	41	2020/6/13 15:33	0	...	...	...	...	...	...	...	...	...	...	...	...	...
14	988.6	...	991	2020/6/14 21:51	986.2	2020/6/14 03:24	27.3	31.7	2020/6/14 11:40	23.9	2020/6/14 04:31	...	85	63	2020/6/14 11:39	0.2	228	3.9	225	2020/6/14 14:39	4	...	...	...	...	...	...	...	...	...	...	...	...	...
15	988.6	...	990.4	2020/6/15 00:06	986.6	2020/6/15 15:51	28	32	2020/6/15 13:25	23.7	2020/6/15 05:03	...	78	60	2020/6/15 10:35	0.6	211	7	218	2020/6/15 10:29	0	...	...	...	...	...	...	...	...	...	...	...	...	...
