ObsTime	StnPres	SeaPres	StnPresMax	StnPresMaxTime	StnPresMin	StnPresMinTime	Temperature	T Max	T Max Time	T Min	T Min Time	Td dew point	RH	RHMin	RHMinTime	WS	WD	WSGust	WDGust	WGustTime	Precp	PrecpHour	PrecpMax10	PrecpMax10Time	PrecpMax60	PrecpMax60Time	SunShine	SunShineRate	GloblRad	VisbMean	EvapA	UVI Max	UVI Max Time	Cloud Amount
1	984.4	...	985.8	2021/6/1 22:04	983.1	2021/6/1 03:15	25.4	29.2	2021/6/1 12:09	21.8	2021/6/1 23:52	...	90	70	2021/6/1 12:45	0.5	3	4.6	9	2021/6/1 14:42	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
2	984.9	...	986.4	2021/6/2 22:21	983.1	2021/6/2 15:58	27.1	32.7	2021/6/2 12:31	21.6	2021/6/2 00:31	...	83	55	2021/6/2 12:27	0.7	216	6.9	218	2021/6/2 17:45	0	...	...	...	...	...	...	...	...	...	...	...	...	...
3	983.2	...	985.5	2021/6/3 00:01	981	2021/6/3 16:04	28.3	33.6	2021/6/3 12:39	24.5	2021/6/3 04:07	...	78	55	2021/6/3 12:41	1	217	6.1	222	2021/6/3 20:38	0	...	...	...	...	...	...	...	...	...	...	...	...	...
4	981.3	...	982.4	2021/6/5 00:00	979.9	2021/6/4 14:07	26.2	31.1	2021/6/4 09:24	21.4	2021/6/4 16:52	...	90	66	2021/6/4 09:25	0.6	29	7.4	104	2021/6/4 16:07	36	...	...	...	...	...	...	...	...	...	...	...	...	...
5	980.7	...	982.8	2021/6/5 22:56	979.4	2021/6/5 15:11	23.7	25.8	2021/6/5 11:50	18.5	2021/6/5 23:11	...	97	89	2021/6/5 11:52	0.6	1	8.4	30	2021/6/5 20:45	16.5	...	...	...	...	...	...	...	...	...	...	...	...	...
6	983.2	...	986.3	2021/6/6 21:28	980.8	2021/6/6 02:56	22.1	22.9	2021/6/6 13:39	18.6	2021/6/6 00:01	...	98	95	2021/6/6 08:05	1.1	19	4.7	47	2021/6/6 12:47	21.5	...	...	...	...	...	...	...	...	...	...	...	...	...
7	986.6	...	988.4	2021/6/7 22:50	984.9	2021/6/7 02:34	24.4	30	2021/6/7 09:58	20.2	2021/6/7 01:00	...	93	67	2021/6/7 10:02	0.8	124	6.8	133	2021/6/7 14:45	59.5	...	...	...	...	...	...	...	...	...	...	...	...	...
8	987.1	...	988.5	2021/6/8 07:47	985.4	2021/6/8 14:53	26.6	31	2021/6/8 10:45	20.5	2021/6/8 05:10	...	83	60	2021/6/8 10:23	0.8	213	5.1	4	2021/6/8 14:10	0.5	...	...	...	...	...	...	...	...	...	...	...	...	...
9	985.7	...	987.5	2021/6/9 00:02	983.6	2021/6/9 17:37	26.1	30.8	2021/6/9 10:32	21.6	2021/6/9 04:01	...	86	63	2021/6/9 10:41	1	237	6.6	18	2021/6/9 13:24	25	...	...	...	...	...	...	...	...	...	...	...	...	...
10	984.1	...	985.8	2021/6/10 21:58	982.2	2021/6/10 16:33	27.3	31.6	2021/6/10 10:59	23.9	2021/6/10 00:52	...	78	56	2021/6/10 10:59	1.1	141	5.8	15	2021/6/10 15:11	0	...	...	...	...	...	...	...	...	...	...	...	...	...
